"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-397014","Muscle contraction","21/380","209/10616",1.87061205417564e-05,1.87061205417564e-05,0.0175246813496455,"NOS1/MYL12A/SORBS1/GUCY1A2/RYR3/MYBPC1/CASQ1/RYR1/ANXA1/ATP2B4/TNNI2/SLN/TCAP/CACNG8/ASPH/TNNC1/KCNK1/MYLPF/ACTC1/ACTA1/TTN",21
"R-HSA-390522","Striated Muscle Contraction","7/380","36/10616",0.000242107903675284,0.000242107903675284,0.113408439090001,"MYBPC1/TNNI2/TCAP/TNNC1/ACTC1/ACTA1/TTN",7
