"","NOS.NS.1","NOS.NS.2","NOS.NS.3","NOS.LA.1","NOS.LA.2","NOS.LA.3","S.NS.1","S.NS.2","S.NS.3","S.LA.1","S.LA.2","S.LA.3"
"240185_at",3.60456782502464,3.86320828109072,3.63782818484361,3.45282890993593,4.22059683791183,4.14651977957325,3.86551160373783,3.78310350099701,4.35664302359326,3.66294489906193,4.0905463023274,4.0550596839502
"222152_at",5.25369127244483,5.40451952602302,5.25369127244483,5.8657662210986,5.4398176744307,5.92986937455265,5.14647104722822,5.55186145018202,5.53633620553066,5.59955707305219,5.67174053189702,6.02635333646845
"232731_x_at",4.36738673404708,4.30943133208164,3.34239914897647,4.36670924155431,4.29936236933694,3.92458341171291,4.62458844902073,4.69701185477426,3.44031534824677,4.61336069752763,4.45438464348673,3.69999397404442
"228913_at",6.19325564592563,6.16389375273822,6.27432282032051,6.28714955083295,6.11810784877504,5.47709459845247,5.65728982513431,6.11513360560925,5.44474568938448,5.74863385058523,5.92948079127443,5.27009589197823
"235167_at",5.37203826653732,4.95567403765577,4.6441187296671,5.31812364859493,5.14779546169942,3.78444433210601,5.63871934597525,4.69713938772364,4.35830888389388,5.91256955931705,5.56066518153933,4.87818521542165
"206866_at",3.794652546239,4.08928993718852,3.65468904358215,4.07843254697455,3.74305630541684,4.04209650211907,4.3074289621478,4.2215880719575,4.21311306037813,4.1166097750507,4.06214940002607,4.54281430371611
"1568596_a_at",5.2525105290484,5.6440484829095,5.45555278511194,5.19943246778566,5.13533273461681,5.58595314896772,5.13972151945447,5.41985366744306,5.67093279890615,5.67978270011667,5.53155658726949,5.69950711741868
"232088_x_at",4.30196718397262,4.54102652319058,4.5281295168715,4.20361399149371,4.90627103437391,3.70106055123701,3.96640455719354,4.43810716321817,4.18849655973286,4.04288766778052,4.17753326080306,3.68054587087883
"240767_x_at",4.5646043903396,4.95366071350994,5.49155969544264,4.61117242655252,4.78972203272967,5.35491777409984,5.14170699208166,4.73861890084458,5.21487537994022,4.61256174519976,4.99389119659934,5.14787876135449
"1556829_at",2.65943524571358,2.80689024731066,3.05336895529642,2.57177695537573,2.503878621951,3.02495497504665,2.7750031907758,2.45285608999735,3.1710501592373,2.43075198237135,2.65749094677045,2.94305657833295
"217220_at",4.25562085897584,5.09455253013812,4.4761726550617,4.40766462139178,4.61114001444925,4.03527266110997,4.7551776132024,4.93530187069194,4.29416746917818,4.68486782286986,4.50179650484257,3.6419774318995
"1554609_at",6.19332841946474,5.73855029089611,6.30809533580208,5.91240790264605,6.06482469076689,5.68173773298134,6.03804034743551,6.21742423213385,5.93611792963696,5.99855431573976,5.69578865995194,6.23565864113254
"227927_at",5.14843186358679,5.20773706295985,5.39503578501611,4.71139723900142,5.00591775483754,5.33186746722732,4.70145542852847,5.06323048779336,5.55897592834612,4.8855642296938,4.87605531948848,5.67792633696786
"226125_at",5.81682952847527,5.95775904401347,6.17224494883968,6.43579438531778,5.96361715904522,6.8465126653255,5.78587123827638,6.05829936308609,6.05929419669619,6.453973093973,6.36179922367937,6.68620192099921
"230632_at",4.18046695136861,4.1088703525459,5.16829596163293,4.71024532748592,4.24261224443091,5.09486760465293,4.55871914742785,5.02280905348484,5.14062768554384,4.34598555506832,4.67522257633329,5.39542012448174
"239896_at",5.68841644937583,6.19369343296149,6.23385727031259,5.72326356510486,6.42260125833559,5.79407228936169,5.52788352346611,6.14012200963566,6.24748925742382,5.62263865764087,5.6977681790777,6.14204702407719
"233775_x_at",6.70785173580179,6.69488321948228,6.23843850671452,6.84353020319709,6.65915503312783,6.4820088225742,6.49514398077835,6.76566419502611,6.26428759381959,6.78326922519314,6.51494429881125,6.27854568844128
"1557038_s_at",5.41802619942169,5.57394950443494,6.19159058545993,5.22789052778958,5.59459020080107,5.84402551248278,5.69874641282054,5.30365926968931,6.38030812968023,5.28997966845061,5.53173671727941,5.79674212047754
"220354_at",4.40270873658739,5.11729257984639,4.99777949323071,4.9823878141819,4.9199583462256,5.15112143166697,5.29179800156807,4.8546179813022,5.08999706982718,5.15534052302079,4.48308385365036,4.611260321179
"216794_at",4.08925268825745,4.41105478432878,4.1944391506233,3.85258621794762,4.06854843142433,4.76239640220361,4.28207099446723,3.9789325049717,4.75685623309402,4.03087561422016,4.62864347706974,4.99735891116562
"233111_at",5.31552653705898,5.1879735926454,4.9351673679869,4.90671531683112,4.74567164373127,4.98271387370844,4.68961220837043,4.70439326806629,5.42297660834547,4.65949186538815,4.97828915659919,5.31403737689157
"242121_at",9.72900685243042,9.65084036521322,8.99233047548902,9.69613193361906,9.65968117923864,9.13319293552926,9.19012627195531,9.90867343408981,8.90067136039975,9.51364389183671,9.35127180683158,9.27104264248432
"239125_at",3.70910635220832,4.19854121524032,3.6182156948989,3.85159180583819,4.21403948419838,3.71355388808324,4.15073316487978,4.38754461281052,3.69721370314638,4.25418116503499,4.3450204122618,3.32604976335874
"232478_at",6.86799948057894,7.11132196890743,6.65618962047981,6.90322198050363,7.44336597821952,6.61094931135776,7.06145163948049,7.2503124695014,6.97339444935427,6.35307035906226,6.6159632793719,6.65144088716673
"243648_at",6.11322677600916,5.10929901946652,5.10010380885413,5.01563701527507,5.53840842354359,5.28841601030888,4.85904406737692,5.26923707655788,5.08685218846953,5.49825359343793,4.91990483751075,5.52173594201448
"214803_at",5.66373071719911,4.79252990177254,5.45255260701574,5.07633178810274,4.74910329678475,5.86991022922824,5.18204394837761,5.54977982265853,5.46305706024012,5.357509412118,5.059329804172,5.54153085700301
"1570064_at",4.28137317883643,4.73131081131765,4.9288686072306,4.6063764639312,5.0419747610782,5.00880498232328,4.14098122346304,4.62869879742058,4.99715300839846,4.30204801982501,4.59983223303296,5.10393118792552
"215318_at",6.01764516937119,6.1218550520896,5.59540059503152,6.27927425080677,5.92908046484266,5.46188784726204,5.33340103998882,6.24371422970544,5.63027196484169,6.02188505266879,5.24212513283094,5.74350090342975
"216125_s_at",7.02861225295324,6.94309680880154,7.3374429458114,7.14474503366297,7.05385985869849,6.72191716243274,7.56843174325029,6.69213815563665,6.87975130129593,7.57593714251605,7.31653751609185,6.68472602761261
"215009_s_at",8.68416802556216,8.37932664516598,8.58684933951866,8.68843938181544,8.63959376086075,7.98766164561717,8.45214328747574,8.6302856006056,8.19671471831489,8.67443928106944,8.25968025687083,7.96644946461323
"229157_at",5.46980080910634,5.32870600175582,5.27028821565862,4.92648121709692,5.32129708538924,5.00247840746157,4.73130327970805,4.92676785847507,4.85035038663795,4.73201551876863,4.54878986305242,4.92982698194302
"226663_at",7.50476442864326,6.99269134938201,6.91469597339956,7.57376032864374,6.65940529620071,5.65395816885035,7.36468879463707,7.38390341654048,6.68168775030847,7.56601299392395,6.15548615326744,6.46478354441469
"235171_at",4.65529872238186,4.63400832742548,4.53287040193159,3.7718537892003,4.63574353353017,4.06832171318443,4.21403948419838,3.84418250703636,4.58732323412373,4.43231219380442,4.60085252725499,3.72465655578176
"231414_at",3.43536976093299,3.69331674038019,3.7975086472658,3.75807331739974,3.47905903152098,3.93666420600825,3.71811837073894,3.44427131486266,3.90589724374507,3.82821523277381,4.00076153003234,3.98220298405496
"242841_at",3.73466293754173,3.96736208900206,4.19925259149764,3.87360521299256,3.73331477049955,4.29944511527409,4.13342452220596,3.72863604948003,4.29437952892751,3.92387338307256,3.87563146942766,4.3052620861147
"1553438_at",5.44570317065975,5.58118648600333,5.7875401891452,5.42028669678654,5.559503191076,5.85122178582884,5.53602987293571,5.20054579398425,5.79804353732512,5.1998807932821,5.28965460696558,6.07348443308538
"239370_at",5.83717476432032,6.49176088878412,5.85676341453368,5.70673248783146,6.50817921349982,5.82196696770024,6.61691959418675,6.4980383174589,6.00616082975026,6.01638016642113,6.1647203374079,5.46904424290067
"224644_at",9.78133776884796,9.48773064985273,9.68448582063172,9.33561174244014,9.67183342827411,9.11418557509242,9.57316680936479,9.24070172351985,9.36356656469934,9.70560926002799,9.17181392773905,9.35254692516486
"242518_at",4.37691996439877,4.46124394519551,4.15589582422534,4.26102682568027,4.53802080205923,3.77634679727503,4.82534385537163,4.21852586119021,3.64168686810672,4.82774749155261,4.38609618177375,3.97664334153139
"231089_at",5.44801473102751,6.71149230770765,6.28870973042462,6.38752111412676,6.65338255089156,6.90260277866648,6.23834041591602,6.80709885477651,6.39780206964119,6.03129121860963,6.49476108138642,6.48494286111762
